time_s,temperature_C,feedrate_mms,extrusion_force_N,die_diameter_px,die_temperature_C,measured_temperature_C,measured_feedrate_mms,meter_count_mm
1447.599999999779,190.0,0.0,0.7085400000000001,31.334375381469727,154.1,190.3,0.0,526.4285128211424
1447.6999999997788,190.0,0.0,0.7085400000000001,32.4671630859375,154.5,190.3,0.0,526.4285128211424
1447.7999999997787,190.0,0.0,0.7085400000000001,27.451501846313477,154.5,190.28,0.0,526.4285128211424
1447.8999999997786,190.0,0.0,0.7085400000000001,29.06741714477539,154.5,190.28,0.0,526.4285128211424
1447.9999999997785,190.0,0.0,0.7085400000000001,32.783390045166016,154.4,190.28,0.0,526.4285128211424
1448.0999999997784,190.0,0.0,0.7075600000000001,32.783390045166016,154.4,190.27,0.0,526.4285128211424
1448.1999999997784,190.0,0.0,0.7075600000000001,28.34874153137207,154.1,190.27,0.0,526.4285128211424
1448.2999999997783,190.0,0.0,0.70658,32.002220153808594,154.2,190.23,0.0,526.4285128211424
1448.3999999997782,190.0,0.0,0.7056,28.54698371887207,154.0,190.23,0.0,526.4285128211424
1448.499999999778,190.0,0.0,0.7056,29.973440170288086,154.3,190.19,0.0,526.4285128211424
1448.599999999778,190.0,0.0,0.7046200000000001,29.973440170288086,154.2,190.19,0.0,526.4285128211424
1448.699999999778,190.0,0.0,0.7046200000000001,26.873350143432617,154.4,190.19,0.0,526.4285128211424
1448.7999999997778,190.0,0.0,0.7046200000000001,27.421361923217773,154.1,190.19,0.0,526.4285128211424
1448.8999999997777,190.0,0.0,0.70364,26.441173553466797,154.1,190.19,0.0,526.4285128211424
1448.9999999997776,190.0,0.0,0.70364,28.087800979614258,154.3,190.14,0.0,526.4285128211424
1449.0999999997775,190.0,0.0,0.7026600000000001,26.936744689941406,154.2,190.14,0.0,526.4285128211424
1449.1999999997774,190.0,0.0,0.7026600000000001,26.936744689941406,154.4,190.1,0.0,526.4285128211424
1449.2999999997774,190.0,0.0,0.70168,31.824424743652344,154.4,190.1,0.0,526.4285128211424
1449.3999999997773,190.0,0.0,0.70168,27.135351181030273,154.2,190.05,0.0,526.4285128211424
1449.4999999997772,190.0,0.0,0.7007,28.556209564208984,154.2,190.05,0.0,526.4285128211424
1449.599999999777,190.0,0.0,0.7007,28.499555587768555,154.2,190.05,0.0,526.4285128211424
1449.699999999777,190.0,0.0,0.6997200000000001,28.499555587768555,154.2,190.0,0.0,526.4285128211424
1449.799999999777,190.0,0.0,0.69874,29.31020736694336,154.2,190.0,0.0,526.4285128211424
1449.8999999997768,190.0,0.0,0.69874,28.425111770629883,154.2,189.95,0.0,526.4285128211424
1449.9999999997767,190.0,0.0,0.69874,30.77174186706543,154.3,189.95,0.0,526.4285128211424
1450.0999999997766,190.0,0.0,0.69874,29.694700241088867,154.2,189.95,0.0,526.4285128211424
1450.1999999997765,190.0,0.0,0.69776,29.694700241088867,154.0,189.95,0.0,526.4285128211424
1450.2999999997764,190.0,0.0,0.69776,30.683141708374023,154.3,189.89,0.0,526.4285128211424
1450.3999999997764,190.0,0.0,0.6967800000000001,31.657838821411133,154.2,189.89,0.0,526.4285128211424
1450.4999999997763,190.0,0.0,0.6967800000000001,31.860445022583008,154.1,189.89,0.0,526.4285128211424
1450.5999999997762,190.0,0.0,0.6958,27.744665145874023,154.0,189.85,0.0,526.4285128211424
1450.699999999776,190.0,0.0,0.6958,27.744665145874023,153.9,189.85,0.0,526.4285128211424
1450.799999999776,190.0,0.0,0.6948200000000001,27.32357406616211,153.9,189.81,0.0,526.4285128211424
1450.899999999776,190.0,0.0,0.6948200000000001,30.179960250854492,153.9,189.81,0.0,526.4285128211424
1450.9999999997758,190.0,0.0,0.6948200000000001,30.274391174316406,154.3,189.77,0.0,526.4285128211424
1451.0999999997757,190.0,0.0,0.6938400000000001,29.06538200378418,154.0,189.77,0.0,526.4285128211424
1451.1999999997756,190.0,0.0,0.6938400000000001,28.846824645996094,154.1,189.77,0.0,526.4285128211424
1451.2999999997755,190.0,0.0,0.6938400000000001,28.846824645996094,154.3,189.73,0.0,526.4285128211424
1451.3999999997754,190.0,0.0,0.6938400000000001,33.246849060058594,153.8,189.73,0.0,526.4285128211424
1451.4999999997754,190.0,0.0,0.6938400000000001,27.78570556640625,153.9,189.73,0.0,526.4285128211424
1451.5999999997753,190.0,0.0,0.6938400000000001,27.78570556640625,154.2,189.73,0.0,526.4285128211424
1451.6999999997752,190.0,0.0,0.69286,30.25958251953125,154.2,189.73,0.0,526.4285128211424
1451.799999999775,190.0,0.0,0.69286,26.168251037597656,154.3,189.75,0.0,526.4285128211424
1451.899999999775,190.0,0.0,0.6909,29.38525390625,154.2,189.75,0.0,526.4285128211424
1451.999999999775,190.0,0.0,0.6909,28.278221130371094,154.2,189.75,0.0,526.4285128211424
1452.0999999997748,190.0,0.0,0.6909,30.200151443481445,154.0,189.83,0.0,526.4285128211424
1452.1999999997747,190.0,0.0,0.6899200000000001,30.200151443481445,154.1,189.83,0.0,526.4285128211424
1452.2999999997746,190.0,0.0,0.6899200000000001,28.664772033691406,154.4,189.83,0.0,526.4285128211424
1452.3999999997745,190.0,0.0,0.6899200000000001,31.381561279296875,154.0,189.88,0.0,526.4285128211424
1452.4999999997744,190.0,0.0,0.6899200000000001,26.094568252563477,154.4,189.88,0.0,526.4285128211424
1452.5999999997744,190.0,0.0,0.6899200000000001,28.846935272216797,154.5,189.93,0.0,526.4285128211424
1452.6999999997743,190.0,0.0,0.6899200000000001,28.846935272216797,154.2,189.93,0.0,526.4285128211424
1452.7999999997742,190.0,0.0,0.6899200000000001,28.32744026184082,154.1,189.93,0.0,526.4285128211424
1452.899999999774,190.0,0.0,0.6899200000000001,29.903297424316406,154.1,189.99,0.0,526.4285128211424
1452.999999999774,190.0,0.0,0.6899200000000001,27.769380569458008,154.3,189.99,0.0,526.4285128211424
1453.099999999774,190.0,0.0,0.6899200000000001,29.132877349853516,154.2,189.99,0.0,526.4285128211424
1453.1999999997738,190.0,0.0,0.6889400000000001,29.132877349853516,154.2,189.99,0.0,526.4285128211424
1453.2999999997737,190.0,0.0,0.6889400000000001,27.67844581604004,153.9,190.06,0.0,526.4285128211424
1453.3999999997736,190.0,0.0,0.68796,27.14437484741211,154.1,190.06,0.0,526.4285128211424
1453.4999999997735,190.0,0.0,0.68796,29.535747528076172,154.2,190.11,0.0,526.4285128211424
1453.5999999997734,190.0,0.0,0.68796,28.634117126464844,154.2,190.11,0.0,526.4285128211424
1453.6999999997734,190.0,0.0,0.68796,28.634117126464844,154.1,190.16,0.0,526.4285128211424
